Question	Answer
سلام	سلام
اینجام کسی تحویلم نمیگره	من که گرفتم
سلام کی اهل دوستی هست بیا پی و ی	التماس کن
من که گرفتم	اره والا بازم ایول ب تو
هخخخ	چه جالب
چه جالب	خبی
اره والا بازم ایول ب تو	خواهش اصل بده
خبی	عالی وقتی نمیام تل خودت جطوری
عالی وقتی نمیام تل خودت جطوری	فدات داداش
فدات داداش	عزیزی
عزیزی	پروفسوری یا
پروفسوری یا	خیلی
خیلی	اصل
خیلی	سلام
اصل	اول شما
سلام	سلام
سلام	خوبی شما
اول شما	۲۳
اول شما	شغلت چیع
سلام	بای
خوبی شما	به خوبی شما چه خبر
شغلت چیع	طراح
مشهد	۲۲ مشهد
چشم	بی بلا
سلام کردن بلد نیستین	این دوره زمونه نه
۲۲ مشهد	خوش هم شهری
سلام کردن بلد نیستین	ببخشید سلام
این دوره زمونه نه	زلیل بشع روزگاار
خوش هم شهری	خوشوقتم
ببخشید سلام	خبی
خوش هم شهری	کجای مشهدی
زلیل بشع روزگاار	ایشالله نشن
کجای مشهدی	سلمان فارسی
خبی	خستم از
سلمان فارسی	امامت
ایشالله نشن	ایشالله میشن
سلمان فارسی	سینگلی؟
خبی	توخوبی
سینگلی؟	نع
منم کجا بودی نفله	توکه نشناختی غلط کردی دلت تنگ شده بدد یخبر میگرفتی
نع	واقعا
ایشالله میشن	نمیشن
نمیشن	خداا کنه بشن
توکه نشناختی غلط کردی دلت تنگ شده بدد یخبر میگرفتی	من که شناختم از کجا میگرفتم پی تو از کدوم دوستت تازه هفته ای یه بار میام تل امروزم مهمون داریم تا صبح میخوان فک بزنن باس بیداری بکشم جا هم نی یه حا بمرگم
خداا کنه بشن	هر چی شما بگین
نع	شوخی میکنی؟
یکی از دسته بندی های زیر را انتخاب کنید	عجب رباتی
یکی از دسته بندی های زیر را انتخاب کنید	ابرفض
شوخی میکنی؟	نه رل دارم واقعا
نه رل دارم واقعا	تف به این شانس
بچه ارومیه نداریم	داریم نجه
داریم نجه	اله
اله	کفین
کفین	ساغول
اینجا کجاست	امریکا
سلام ب بچه های باحال	سلام بی حال
بگو من کم داری بگو	کم دارمت
ناراحتم	چرا عزیزم
چرا عزیزم	همینجوری
همینجوری	همینجوری که نمیشه
همینجوری که نمیشه	چرا
هخخه	خبی
ینی اینقد زایعس؟	اره دیگه یکم استتار تر بیا
طراح چی هستی داش	گرافیک داش
گرافیک داش	بچه کجایی
سلام	بای
بچه کجایی	همین ورا عزیز شما کجایی
همین ورا عزیز شما کجایی	خخخخ بگو دا
خخخخ بگو دا	تهران
تهران	اوک
بحق دوازده تن زیر هیجده چرخشی	۱۲ تن کیا هستن
چقد شما از این ور به اون ور میرین	گروه امیرحسین نبودی تو؟
چتخوش	خوش باشی
گروه امیرحسین نبودی تو؟	بودم شما
سلام پرقدرتای کیری مقام	سلام مادر فاکر
خوش باشی	دادلش بیا پ
دادلش بیا پ	استغفرالله برادر توبه کن
نگار سلام	امیر سلام
استغفرالله برادر توبه کن	خخخخ منحرف نباش کانالم میای
خخخخ منحرف نباش کانالم میای	من هفته ای یه بار میام کانال در مورد چیه
امیر سلام	خب میخای اسم خودتا بگم
بای	چرا
من هفته ای یه بار میام کانال در مورد چیه	غم دل شکسته هل
خب میخای اسم خودتا بگم	امیر میخوای بگو امیل
۱۲ تن کیا هستن	ادمای خوبین
بودم شما	الهه ناز
ادمای خوبین	میای کانالم
امیر میخوای بگو امیل	نع اسم خودتا
میای کانالم	چجوریه
الهه ناز	اها خوبی الهه جان
چجوریه	غم فاز
میای کانالم	کانال چی عس
کانال چی عس	کانال فاز غم
نع اسم خودتا	واییی میخوای بگی امیر عشقم
